injured	10123	2.22	1.1119	3658	--	1796	--
suffering	10124	2.22	1.7058	3916	2184	3149	2342
cried	10125	2.20	1.2936	3296	2867	--	957
crime	10126	2.20	1.2617	1851	2011	1223	1069
loser	10127	2.20	1.1066	1647	--	--	2647
depressed	10128	2.18	1.7922	2557	--	--	--
divorce	10129	2.18	1.3200	3679	4454	2484	--
hurt	10130	2.18	1.3656	542	3504	1944	419
robbed	10131	2.18	1.4241	--	--	--	4713
tsunami	10132	2.18	1.3354	4890	--	--	--
agony	10133	2.16	1.8775	--	--	--	3566
drowned	10134	2.16	1.5954	--	--	--	3918
homeless	10135	2.16	1.2835	3509	--	2332	4871
pollution	10136	2.16	1.1843	--	4886	4487	--
corruption	10137	2.14	1.3095	--	4823	3107	--
crimes	10138	2.14	1.3704	--	4608	2525	3902
hated	10139	2.14	1.2938	3837	--	--	3029
hurts	10140	2.14	1.1954	1257	--	--	965
painful	10141	2.12	1.4518	3635	3943	4942	3996
sorrow	10142	2.12	1.5602	--	4807	1486	1047
unemployment	10143	2.12	1.0029	--	3852	3493	--
unhappy	10144	2.12	1.3649	4687	--	--	4185
heartbreak	10145	2.11	1.3061	--	--	--	3609
dying	10146	2.10	1.4743	1900	3359	4729	751
funeral	10147	2.10	1.5551	2670	--	290	3375
pain	10148	2.10	1.2817	577	992	2560	231
worst	10149	2.10	1.3439	917	3236	2385	1463
dies	10150	2.08	1.5628	2265	--	--	1573
racist	10151	2.08	1.3529	4506	--	--	--
rejected	10152	2.08	1.1220	--	3175	2240	--
robbery	10153	2.08	1.3223	--	--	4878	--
suffer	10154	2.08	1.3827	4936	2924	4605	1844
virus	10155	2.08	1.3377	3830	3672	3204	--
bankruptcy	10156	2.06	1.5960	--	--	2287	--
fails	10157	2.06	1.2022	4311	4615	--	--
failure	10158	2.06	1.2191	1764	1071	2019	3941
hates	10159	2.06	1.3311	2130	--	--	3727
prison	10160	2.06	1.4765	2151	2661	1131	1951
slave	10161	2.06	1.4626	4751	2534	--	1674
slaves	10162	2.06	1.3694	--	2701	--	3761
tragedy	10163	2.06	1.3763	4815	4208	4271	2787
violent	10164	2.06	1.3463	4120	2846	3340	2003
crying	10165	2.04	1.2447	1725	--	--	660
destroyed	10166	2.04	1.3395	--	2403	3695	4128
injury	10167	2.04	1.2447	2613	2247	2697	--
rejection	10168	2.02	1.3268	--	4994	--	--
motherfucker	10169	2.02	1.6597	--	--	--	1116
sick	10170	2.02	1.0784	279	2611	4243	583
slavery	10171	2.02	1.5842	--	2876	--	--
dead	10172	2.00	1.3248	353	837	1350	298
disease	10173	2.00	1.3093	3531	598	1391	1780
illness	10174	2.00	1.1780	--	2738	1690	--
killers	10175	2.00	1.5253	--	--	--	3303
punishment	10176	2.00	1.3401	--	2750	--	--
criminal	10177	1.98	1.2696	2722	2421	1322	3261
depression	10178	1.98	1.5583	3082	2406	--	--
headache	10179	1.98	1.1156	959	--	--	--
poverty	10180	1.98	1.1156	--	2343	3744	--
tumors	10181	1.98	1.3461	--	4876	--	--
bomb	10182	1.96	1.2771	1292	--	2815	1227
disaster	10183	1.96	1.4280	2399	--	3729	3355
fail	10184	1.96	1.0294	1160	2481	4030	1758
poison	10185	1.94	1.1502	4668	--	--	1740
depressing	10186	1.90	1.2164	3838	--	--	--
earthquake	10187	1.90	1.1995	2733	--	--	--
evil	10188	1.90	1.2817	975	1416	--	781
wars	10189	1.90	1.3286	1654	3252	4696	2888
abuse	10190	1.88	1.2395	2809	2865	2236	3069
diseases	10191	1.88	0.9398	--	2307	4795	--
sadness	10192	1.88	1.1891	--	--	3820	1930
violence	10193	1.86	1.0500	4299	1724	1238	2016
cruel	10194	1.84	1.1493	2963	--	--	1447
cry	10195	1.84	1.2835	1028	3075	--	226
failed	10196	1.84	0.9971	2645	1618	1276	2920
sickness	10197	1.84	1.1843	4735	--	--	3782
abused	10198	1.83	1.3101	--	--	--	4589
tortured	10199	1.82	1.4241	--	--	--	4693
fatal	10200	1.80	1.5253	--	4089	--	3724
killings	10201	1.80	1.5386	--	--	4914	--
murdered	10202	1.80	1.6288	--	--	--	4796
war	10203	1.80	1.4142	468	175	291	462
kills	10204	1.78	1.2337	2459	--	--	2857
jail	10205	1.76	1.0214	1642	--	2573	1619
terror	10206	1.76	1.0012	4625	4117	4048	2370
die	10207	1.74	1.1920	418	730	2605	143
killing	10208	1.70	1.3590	1507	4428	1672	998
arrested	10209	1.64	1.0053	2435	4474	1435	--
deaths	10210	1.64	1.1386	--	--	2974	--
raped	10211	1.64	1.4251	--	--	--	4528
torture	10212	1.58	1.0515	3175	--	--	3126
died	10213	1.56	1.1980	1223	866	208	826
kill	10214	1.56	1.0529	798	2727	2572	430
killed	10215	1.56	1.2316	1137	1603	814	1273
cancer	10216	1.54	1.0730	946	1884	796	3802
death	10217	1.54	1.2811	509	307	373	433
murder	10218	1.48	1.0150	2762	3110	1541	1059
terrorism	10219	1.48	0.9089	--	--	3192	--
rape	10220	1.44	0.7866	3133	--	4115	2977
suicide	10221	1.30	0.8391	2124	4707	3319	2107
terrorist	10222	1.30	0.9091	3576	--	3026	--
